episode,actor_loss,critic_loss,entropy
254,-0.0206,63.7459,0.6914
255,-0.1664,71.6457,0.6489
256,0.0658,75.8144,0.8671
257,0.1014,59.4516,0.9394
258,0.09,59.2165,0.9267
259,-0.0598,75.8722,0.7323
260,0.0001,64.374,0.7849
261,0.0479,62.6534,0.8012
262,0.0301,78.1899,0.8633
263,0.0824,80.7058,0.8767
264,0.07,61.7089,0.8436
265,0.0154,89.5667,0.7033
266,-0.0196,140.8843,0.4711
267,-0.1657,91.419,0.5529
268,0.0523,105.5152,0.6868
269,0.0021,72.9988,0.6008
270,-0.0397,68.9711,0.7763
271,0.1137,86.737,0.7007
272,-0.0049,88.8269,0.6081
273,0.1475,51.629,0.709
274,0.0871,65.5254,0.7291
275,0.0134,62.8719,0.7684
276,-0.0848,59.3562,0.7872
277,0.009,51.1963,0.817
278,0.0257,41.7134,0.9417
279,0.0392,62.8082,0.6014
280,0.0258,39.9035,0.7406
281,-0.0088,67.0839,0.5866
282,0.0158,99.9841,0.6975
283,-0.1915,39.1137,0.7397
284,0.0419,57.7924,0.8731
285,-0.125,84.7429,0.8955
286,0.1091,127.3152,0.6397
287,-0.0991,77.2618,0.8463
288,0.0734,108.7722,0.7635
289,0.0623,73.6705,0.8013
290,0.0003,83.5164,0.6269
291,-0.1179,135.6654,0.6605
292,0.0153,139.9316,0.7662
293,-0.0188,73.9766,0.8924
294,-0.0642,45.9106,0.8749
295,-0.2338,103.9531,0.8197
296,-0.3052,120.3242,0.7648
297,0.1384,151.9351,0.7577
298,0.0299,51.9603,1.0073
299,0.0968,59.3646,0.8094
300,0.0677,81.8542,0.7713
301,-0.2669,64.8626,0.5834
302,-0.2467,99.66,0.6838
303,0.0708,90.7946,0.5851
304,-0.1377,99.8521,0.8082
305,0.0562,86.5152,0.7407
306,-0.117,101.8817,0.9727
307,-0.0421,88.0445,0.8157
308,-0.0549,81.1838,0.9128
309,-0.1573,154.2436,0.8612
310,0.1621,63.9213,0.9072
311,-0.0071,62.1063,0.9756
312,-0.346,136.6643,0.7676
313,-0.2743,68.6489,0.9113
314,0.048,55.6903,1.0373
315,0.1195,64.5459,0.8366
316,0.0977,83.4709,0.9772
317,0.0428,70.8827,1.0404
318,-0.0167,57.8481,0.9961
319,-0.1919,40.4566,1.0416
320,0.1187,35.2199,1.0356
321,0.0013,32.6029,0.96
322,0.0427,38.9969,0.835
323,-0.0016,24.1363,0.9182
324,0.1056,51.5263,0.8447
325,0.21,47.0459,0.9089
326,-0.0765,63.2544,0.7433
327,0.1148,46.6733,0.7999
328,0.0589,55.8092,0.7132
329,0.0157,59.5783,0.6865
330,-0.0872,72.0504,0.6463
331,0.0159,82.2068,0.8618
332,-0.1619,56.5639,0.8295
333,0.0898,74.3329,0.7935
334,-0.0069,68.6801,0.7939
335,0.063,65.0002,0.83
336,0.254,129.5181,0.9894
337,0.0421,51.91,0.6968
338,0.0185,80.2842,0.8715
339,-0.0309,58.464,0.7624
340,-0.1118,128.1815,0.8023
341,-0.16,79.4037,0.8566
342,0.0749,64.0087,0.9354
343,-0.0085,81.1749,0.7925
344,-0.0347,72.0301,0.9285
345,0.1959,75.6201,0.6302
346,-0.1546,140.6611,0.7413
347,-0.179,124.7968,0.7412
348,0.0415,44.9247,0.9674
349,0.0904,54.0719,0.8502
350,0.0451,57.0845,0.8499
351,-0.1124,62.4698,0.6054
352,-0.0853,98.1304,0.6305
353,0.1441,75.876,0.7
354,-0.0163,78.1215,0.7494
355,0.0672,55.8648,0.7646
356,-0.0469,99.7566,0.8315
357,0.0231,84.3824,0.8221
358,-0.0889,75.1544,0.7525
359,-0.1762,81.4942,0.8512
360,-0.0402,74.6066,0.6974
361,-0.0033,87.61,0.7567
362,-0.0391,95.9406,0.7439
363,0.1397,70.4668,0.7412
364,-0.0866,76.8611,0.8356
365,0.0584,42.9361,1.0252
366,-0.0795,73.1874,0.8799
367,-0.0356,64.5187,0.8421
368,-0.0751,33.5294,0.8311
369,-0.0153,68.5055,0.8028
370,-0.046,72.9083,0.7637
371,0.2818,71.3997,0.6804
372,-0.2926,94.448,0.9765
373,0.0403,50.3177,0.9584
374,-0.1025,52.7335,0.9501
375,-0.1488,67.1344,0.8327
376,-0.042,47.4518,1.0215
377,-0.1631,69.2474,0.9863
378,0.0313,47.7683,0.8736
379,0.0897,47.1823,0.8053
380,-0.0327,63.652,0.8371
381,-0.2349,65.1246,0.9483
382,-0.0833,22.5759,0.8475
383,0.228,42.4207,0.8872
384,-0.1084,40.5004,0.7118
385,-0.0995,55.7715,0.7923
386,-0.2231,43.1434,0.7922
387,0.015,97.2245,0.5215
388,-0.153,37.79,0.9088
389,-0.0767,63.9328,0.7745
390,0.2135,40.4466,0.7275
391,-0.255,131.4387,0.5688
392,0.0518,98.8592,0.507
393,-0.01,134.9123,0.4804
394,0.1257,139.7744,0.5222
395,0.101,134.3496,0.7253
396,0.0048,110.859,0.6479
397,-0.2418,179.9072,0.4959
398,0.0532,62.3935,0.5718
399,-0.1176,68.9072,0.6429
400,-0.0554,160.8284,0.6407
401,0.0236,141.3481,0.7631
402,-0.0895,43.7951,0.7493
403,0.0085,107.415,0.6362
404,-0.0572,43.7057,0.8744
405,-0.2494,103.7772,0.8595
406,-0.1025,97.1545,0.8687
407,0.0537,97.3546,0.8153
408,0.0831,51.8476,0.6775
409,0.0419,60.7671,0.8531
410,0.1227,76.3781,0.9224
411,0.1018,53.0411,0.9022
412,-0.1819,90.1166,0.6732
413,-0.1226,81.0735,0.8638
414,-0.1656,34.3667,0.8461
415,0.1156,43.8785,0.7868
416,-0.1303,75.538,0.8011
417,-0.0926,138.5496,0.727
418,0.1124,50.9108,0.845
419,0.064,66.032,0.7731
420,-0.0636,82.2293,0.6423
421,-0.2074,87.2607,0.8122
422,-0.0606,79.6033,0.7074
423,-0.1099,97.7195,0.5282
424,-0.4268,102.3066,0.6475
425,-0.253,134.4446,0.8616
426,-0.0848,67.7734,0.7947
427,0.0121,44.7404,0.8831
428,0.0584,31.1456,0.9072
429,-0.0737,57.5524,0.7707
430,0.0312,56.4887,0.8259
431,-0.0228,88.7241,0.8407
432,0.0342,48.4413,0.7781
433,-0.0758,60.4636,0.7416
434,-0.084,77.3348,0.5991
435,0.0772,37.3271,0.8027
436,0.0524,62.0059,0.8767
437,0.0104,44.0031,0.9628
438,0.0439,39.6837,0.9638
439,-0.0544,46.4882,0.9128
440,-0.048,50.4663,0.7029
441,0.2137,70.1651,0.7356
442,-0.1367,51.6099,0.7407
443,-0.3102,106.6584,0.9208
444,0.0126,61.703,0.8964
445,-0.1157,117.4804,0.7172
446,0.1678,66.2634,0.8263
447,0.0605,41.9928,0.8444
448,0.0144,64.1159,0.8209
449,-0.1881,55.7363,0.8163
450,-0.2766,106.0364,0.9341
451,0.2076,38.1686,0.8793
452,0.0799,52.0081,0.8087
453,-0.0398,42.6107,0.7266
454,0.018,47.5315,0.8901
455,-0.0711,100.5621,0.8482
456,0.086,32.0018,0.9095
457,-0.0952,39.8856,0.8048
458,-0.1212,38.823,0.8352
459,0.1028,42.2767,0.7109
460,0.014,45.4214,0.7379
461,0.1131,66.0264,0.688
462,0.0734,40.6655,0.8025
463,0.1924,81.0578,0.7989
464,-0.0673,54.728,0.7121
465,-0.0598,70.1759,0.8807
466,0.0483,38.6547,1.0443
467,0.1141,39.1052,1.0447
468,0.0903,48.6869,0.983
469,0.0572,46.5834,0.9857
470,0.0309,59.9468,0.9729
471,0.1231,74.0203,0.9251
472,0.1547,77.7755,0.9571
473,-0.1419,68.6365,0.9641
474,0.0988,79.8044,0.8344
475,0.0337,37.4233,0.9113
476,-0.1247,125.1662,0.807
477,-0.1007,70.7108,0.6802
478,-0.2831,176.0384,0.777
479,0.0626,46.2244,0.8929
480,0.0759,81.2936,0.8528
481,-0.1237,87.4112,0.7753
482,-0.0895,57.8378,0.8725
483,0.1197,54.2916,0.8814
484,0.1005,34.9622,0.8503
485,-0.0369,71.4405,0.8455
486,0.0373,51.8143,0.8058
487,-0.1764,25.7298,0.831
488,-0.0805,37.1234,0.9346
489,-0.1706,39.2375,0.8838
490,0.0473,29.7251,0.9448
491,0.0158,43.5432,0.9662
492,-0.1013,46.7056,0.9827
493,-0.1923,74.0343,0.963
494,0.0542,36.7323,0.8624
495,-0.1635,47.0695,0.8228
496,0.0375,33.4333,0.9231
497,-0.0617,54.5047,0.8413
498,0.1239,41.9736,0.8014
499,0.2249,39.7583,0.8265
500,0.1076,39.9298,0.933
501,0.0019,55.8933,0.9446
502,-0.2041,65.661,0.7667
503,-0.0588,42.9037,0.8148
504,-0.087,61.5187,0.78
505,0.0315,108.1796,0.8402
506,0.1627,54.1935,0.8643
507,-0.1539,129.0827,0.9144
508,0.0714,65.6519,0.9874
509,-0.08,76.0641,0.9249
510,-0.1285,66.4296,0.8523
511,0.1149,46.798,0.9978
512,-0.008,82.5214,0.8211
513,-0.1565,123.3761,0.9664
514,-0.169,103.2917,0.9781
515,-0.0622,130.5863,0.8543
516,-0.0432,54.5455,0.8398
517,-0.1011,118.7467,0.7621
518,0.0023,74.7272,0.7093
519,0.0839,77.3627,0.7745
520,-0.0926,84.1556,0.8568
521,-0.0256,81.5082,0.9054
522,-0.0167,108.1565,0.6958
523,-0.1644,84.4409,0.7241
524,-0.0367,68.096,0.5412
525,-0.1899,80.9673,0.5836
526,-0.1453,112.2431,0.6318
527,-0.0278,106.0736,0.7272
528,0.1007,69.6022,0.776
529,0.1577,82.3832,0.9441
530,-0.1398,89.1317,0.9694
531,0.1274,80.1224,0.7764
532,-0.287,91.7109,0.8834
533,-0.2441,94.2291,0.7328
534,0.0883,30.9414,0.9687
535,0.0183,40.9538,0.8903
536,0.0248,41.5971,0.7758
537,-0.0155,30.3192,0.9232
538,0.0489,68.6424,0.7827
539,0.0902,70.0894,0.7333
540,0.0032,82.2443,0.8984
541,-0.0097,51.5815,0.8656
542,0.0564,65.8526,0.7286
543,-0.0165,45.5469,0.6964
544,0.151,82.9795,0.7711
545,0.0516,68.2997,0.7395
546,-0.0464,32.1995,0.8645
547,-0.0688,78.4743,0.8101
548,-0.0595,100.9427,0.7321
549,0.049,69.435,0.767
550,-0.2654,99.7615,0.7715
551,-0.0463,64.6673,0.6622
552,-0.0718,76.7471,0.8662
553,-0.1513,68.6299,0.9061
554,-0.1659,90.2114,0.7686
555,-0.0352,72.3967,0.8053
556,-0.073,76.1064,0.7995
557,-0.0514,64.0751,0.8079
558,0.0506,64.513,0.7715
559,-0.0837,70.9215,0.6598
560,-0.1667,154.0108,0.7727
561,0.0468,97.648,0.8928
562,-0.0441,84.54,0.8766
563,-0.1502,76.6579,0.9221
564,-0.1237,116.7916,0.9978
565,0.1041,55.4778,0.8334
566,-0.0189,164.94,0.7964
567,-0.1556,83.346,0.7133
568,0.1647,47.1932,0.8956
569,-0.1711,29.8667,0.8363
570,-0.227,115.3432,0.7831
571,-0.1056,52.9791,0.9533
572,0.1872,52.0606,1.1071
573,0.0769,39.0566,0.824
574,-0.1181,21.9927,1.0306
575,0.033,38.9779,0.8567
576,0.1015,25.0096,0.7992
577,-0.0005,42.3869,0.8377
578,0.1234,24.2785,0.8973
579,0.074,34.825,0.889
